node,community
16384,0
16385,0
16386,0
3,0
4,0
5,0
6,0
8197,0
7,0
32774,0
32773,0
40965,0
40971,0
24587,0
40969,0
16397,0
16,0
17,0
24594,0
18,0
20,0
21,0
24597,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
36,0
38,0
16424,0
16425,0
24618,0
24616,0
32812,0
32817,0
16433,0
24628,0
24630,0
32834,0
67,0
16452,0
16453,0
16455,0
73,0
74,0
75,0
77,0
78,0
81,0
40722,0
8286,0
98,0
24687,0
24688,0
4907,0
24692,0
130,0
32899,0
16523,0
24718,0
16527,0
41102,0
16534,0
4915,0
24735,0
16545,0
24740,0
16550,0
24743,0
24744,0
24749,0
16560,0
24753,0
4922,0
32959,0
24767,0
32961,0
4923,0
4924,0
24776,0
4925,0
24782,0
210,0
8404,0
24799,0
24800,0
24801,0
41186,0
24803,0
41184,0
24805,0
24806,0
24807,0
41185,0
24809,0
41194,0
24812,0
21214,0
24819,0
33012,0
24820,0
24821,0
4933,0
16632,0
33016,0
41210,0
16635,0
41211,0
41212,0
255,0
24831,0
4936,0
24864,0
16679,0
24872,0
24873,0
24878,0
24879,0
306,0
24882,0
309,0
24886,0
310,0
312,0
16697,0
314,0
24891,0
24892,0
24893,0
4948,0
321,0
24898,0
24899,0
324,0
322,0
24902,0
326,0
328,0
329,0
330,0
331,0
33100,0
24901,0
33094,0
4951,0
24914,0
4952,0
16727,0
343,0
4953,0
16731,0
349,0
24925,0
16741,0
360,0
16750,0
16752,0
41331,0
41332,0
16759,0
376,0
16761,0
16763,0
380,0
16764,0
16766,0
16767,0
383,0
385,0
41346,0
16771,0
388,0
16773,0
390,0
24966,0
16772,0
16776,0
16777,0
41359,0
33171,0
4965,0
8599,0
33177,0
4966,0
24987,0
16797,0
4967,0
16800,0
16801,0
16803,0
16804,0
16805,0
41382,0
41384,0
33196,0
25009,0
25010,0
25012,0
25013,0
41398,0
25018,0
41405,0
8641,0
8642,0
16835,0
41410,0
16837,0
25030,0
16838,0
16840,0
16841,0
16842,0
25032,0
25033,0
33229,0
25034,0
25035,0
25036,0
41425,0
25037,0
16851,0
25040,0
25039,0
25046,0
25041,0
41427,0
25042,0
16858,0
25052,0
16861,0
25053,0
25055,0
25056,0
25054,0
16860,0
25059,0
33244,0
25061,0
16870,0
41444,0
16868,0
29405,0
16874,0
25069,0
25070,0
16879,0
25071,0
25072,0
25073,0
25075,0
25076,0
25077,0
25078,0
25079,0
16885,0
16889,0
41472,0
41477,0
16902,0
518,0
41489,0
41490,0
41492,0
41493,0
16921,0
16922,0
25115,0
16923,0
41501,0
16926,0
16927,0
16924,0
16925,0
25122,0
25123,0
25120,0
25121,0
41507,0
16935,0
41508,0
41509,0
16929,0
41514,0
25132,0
25133,0
41517,0
16943,0
29418,0
29419,0
41522,0
41523,0
16949,0
25142,0
8764,0
41535,0
41536,0
16961,0
41539,0
8772,0
25157,0
8771,0
16969,0
16970,0
590,0
591,0
25168,0
41550,0
41551,0
25171,0
41552,0
41555,0
41556,0
41557,0
41558,0
25177,0
16986,0
41563,0
25178,0
16988,0
16981,0
25183,0
33376,0
21288,0
16996,0
41583,0
17010,0
41588,0
33397,0
25212,0
8829,0
25213,0
25218,0
25219,0
643,0
41604,0
17029,0
25221,0
41608,0
25222,0
25223,0
25224,0
25225,0
25226,0
21296,0
25231,0
33424,0
41617,0
41618,0
41619,0
41620,0
41621,0
41622,0
41623,0
33430,0
33431,0
25242,0
33435,0
25244,0
25241,0
41624,0
33434,0
25245,0
17058,0
33442,0
33444,0
25253,0
25254,0
33445,0
33451,0
25260,0
33452,0
17070,0
17071,0
33453,0
8881,0
17073,0
8879,0
8880,0
17074,0
25270,0
17079,0
17080,0
695,0
41656,0
8891,0
33468,0
17081,0
17082,0
17086,0
33472,0
33473,0
41666,0
17091,0
41667,0
25284,0
25285,0
25287,0
33477,0
17096,0
17097,0
41677,0
41678,0
33485,0
17101,0
33486,0
17107,0
41685,0
17111,0
17112,0
41692,0
17118,0
8928,0
17122,0
41699,0
41700,0
41701,0
41702,0
747,0
41713,0
25331,0
41715,0
755,0
757,0
25335,0
760,0
756,0
762,0
17148,0
25341,0
25342,0
25343,0
17151,0
17152,0
17153,0
25347,0
17154,0
25344,0
25346,0
25348,0
25345,0
768,0
25354,0
770,0
771,0
17156,0
17157,0
25351,0
21322,0
785,0
21323,0
21324,0
17176,0
21325,0
25375,0
25376,0
25377,0
33571,0
33573,0
33574,0
25383,0
41765,0
25384,0
25386,0
33583,0
9008,0
37611,0
41781,0
41783,0
41785,0
41786,0
41787,0
17211,0
41789,0
25406,0
33597,0
33598,0
33599,0
33600,0
33601,0
17213,0
41797,0
33605,0
33607,0
33606,0
33608,0
33610,0
33611,0
33604,0
41804,0
29475,0
29476,0
33616,0
25425,0
41808,0
17235,0
25424,0
17237,0
17238,0
17239,0
33622,0
33625,0
17234,0
9051,0
9052,0
9053,0
862,0
9054,0
864,0
25440,0
866,0
865,0
868,0
869,0
25445,0
33632,0
872,0
873,0
17257,0
33641,0
875,0
17261,0
33643,0
25449,0
33639,0
880,0
879,0
33651,0
17268,0
41845,0
17270,0
886,0
33655,0
17272,0
33657,0
25466,0
25467,0
17271,0
17275,0
892,0
17277,0
889,0
891,0
898,0
33668,0
33669,0
33670,0
901,0
17286,0
903,0
904,0
905,0
33676,0
25484,0
41869,0
33677,0
33680,0
33678,0
33682,0
33683,0
33684,0
21349,0
17302,0
25495,0
9112,0
33688,0
33689,0
25499,0
41879,0
25496,0
9118,0
33694,0
25503,0
25504,0
25505,0
33698,0
25506,0
25509,0
9123,0
935,0
9120,0
9121,0
9130,0
29494,0
29493,0
25517,0
17326,0
942,0
944,0
943,0
9135,0
9136,0
947,0
17329,0
25526,0
41909,0
17333,0
9147,0
9148,0
17340,0
25531,0
9152,0
9154,0
25540,0
33732,0
964,0
967,0
968,0
9161,0
41931,0
41933,0
974,0
25549,0
976,0
17361,0
17362,0
9171,0
17364,0
17358,0
9165,0
25553,0
25560,0
41945,0
41946,0
25563,0
25562,0
9181,0
9182,0
991,0
17373,0
9185,0
25570,0
25569,0
990,0
9183,0
9184,0
33758,0
41960,0
17384,0
17378,0
33771,0
33772,0
998,0
25575,0
25576,0
33776,0
17393,0
17387,0
9199,0
17396,0
17394,0
33782,0
33779,0
9201,0
41977,0
33786,0
1019,0
33788,0
33789,0
33790,0
33785,0
1024,0
17409,0
1025,0
33791,0
28045,0
33801,0
33804,0
25618,0
42009,0
17436,0
42015,0
25632,0
25634,0
25635,0
25636,0
29519,0
42023,0
17448,0
25642,0
17455,0
17456,0
17457,0
17458,0
17459,0
42036,0
25647,0
42043,0
25661,0
25662,0
42048,0
25665,0
9286,0
33862,0
33864,0
1096,0
1095,0
1098,0
9289,0
1099,0
29526,0
33871,0
1105,0
17490,0
33875,0
29528,0
42071,0
17495,0
29529,0
17498,0
17501,0
17506,0
4929,0
1129,0
42090,0
17518,0
17519,0
17520,0
17521,0
42098,0
33904,0
33905,0
33906,0
33907,0
33908,0
33909,0
33910,0
17522,0
17523,0
17524,0
33914,0
17531,0
1148,0
9336,0
42113,0
17537,0
33919,0
33924,0
42116,0
33930,0
17552,0
29540,0
17554,0
9365,0
33942,0
25750,0
9371,0
17564,0
9373,0
17567,0
33952,0
33953,0
33954,0
33955,0
33956,0
9377,0
17573,0
17574,0
9382,0
17576,0
9385,0
9384,0
9392,0
33971,0
17591,0
25787,0
17596,0
9408,0
1216,0
1218,0
33987,0
17602,0
17605,0
1222,0
1223,0
33992,0
1219,0
1226,0
1227,0
1228,0
1229,0
9413,0
42191,0
42192,0
42193,0
17618,0
42199,0
29555,0
17630,0
17631,0
9440,0
42209,0
42210,0
17635,0
42212,0
42213,0
9442,0
17639,0
17640,0
17641,0
17642,0
34027,0
17644,0
42220,0
17647,0
17656,0
17657,0
34042,0
9466,0
17658,0
34045,0
9470,0
9467,0
9468,0
9477,0
34059,0
34060,0
9483,0
34064,0
9489,0
9490,0
34069,0
17687,0
25883,0
9511,0
9515,0
9516,0
9518,0
25914,0
25915,0
34110,0
25923,0
45858,0
34118,0
25926,0
42311,0
45859,0
25933,0
25935,0
9553,0
25939,0
25942,0
17751,0
17750,0
9562,0
9563,0
25948,0
25949,0
25952,0
34146,0
25957,0
17769,0
17781,0
17782,0
1401,0
17786,0
17785,0
17789,0
34177,0
17794,0
17795,0
17796,0
34181,0
34182,0
25987,0
34184,0
37730,0
34186,0
25995,0
34187,0
34188,0
17806,0
17803,0
34192,0
17804,0
17805,0
34194,0
17813,0
17814,0
17818,0
17819,0
17823,0
17825,0
9640,0
9654,0
9656,0
1465,0
1466,0
1467,0
1472,0
1473,0
1474,0
9666,0
1477,0
26053,0
1479,0
9672,0
17862,0
9675,0
26063,0
9682,0
9683,0
9684,0
9685,0
1498,0
1499,0
1500,0
45888,0
26081,0
1506,0
42466,0
1509,0
1510,0
1511,0
1512,0
1513,0
1517,0
1525,0
1526,0
1527,0
1529,0
17914,0
45894,0
45895,0
1536,0
1537,0
1540,0
1544,0
45897,0
9739,0
1547,0
9741,0
9743,0
1552,0
9744,0
1554,0
1555,0
26131,0
1561,0
34329,0
45901,0
9757,0
9761,0
9768,0
9771,0
9772,0
9774,0
9775,0
9778,0
9779,0
9780,0
9781,0
9782,0
9783,0
9784,0
1590,0
17971,0
1593,0
9789,0
17991,0
9803,0
45911,0
9814,0
9815,0
9816,0
4949,0
9822,0
9823,0
9824,0
1630,0
325,0
9831,0
18026,0
9840,0
45918,0
18034,0
1650,0
18035,0
18036,0
18037,0
9876,0
9877,0
9878,0
9880,0
9881,0
9884,0
9885,0
9886,0
9887,0
9888,0
9889,0
9890,0
9891,0
9892,0
18092,0
18095,0
9908,0
9910,0
9915,0
9918,0
9921,0
18117,0
9928,0
9929,0
9930,0
9932,0
9933,0
9939,0
9940,0
9941,0
18132,0
18133,0
9944,0
9948,0
42726,0
42727,0
9962,0
26347,0
9964,0
42734,0
18161,0
42738,0
42739,0
42740,0
9975,0
9977,0
9978,0
9979,0
9980,0
9991,0
9992,0
9994,0
10001,0
42770,0
42778,0
42779,0
42780,0
28044,0
42795,0
10030,0
42799,0
42800,0
42801,0
10031,0
42803,0
42804,0
42805,0
26420,0
42806,0
18232,0
28046,0
42811,0
42812,0
42813,0
10046,0
28048,0
10048,0
10053,0
26438,0
42825,0
10062,0
18257,0
26451,0
10069,0
26459,0
42844,0
42845,0
42846,0
42847,0
42849,0
42850,0
10083,0
10084,0
10085,0
42852,0
42855,0
10087,0
42853,0
42851,0
42859,0
42860,0
26468,0
42863,0
10106,0
26492,0
10109,0
26493,0
42883,0
10127,0
26520,0
26521,0
42906,0
18349,0
42938,0
42939,0
42940,0
10175,0
42944,0
10176,0
10177,0
42947,0
42943,0
10180,0
10182,0
10183,0
10184,0
10185,0
10178,0
42956,0
42957,0
42958,0
10191,0
42959,0
10193,0
18383,0
10194,0
26575,0
18380,0
10198,0
10200,0
10204,0
10210,0
10213,0
10214,0
42983,0
42984,0
42985,0
10218,0
10219,0
42988,0
10223,0
42992,0
18419,0
42996,0
18427,0
10236,0
10237,0
43004,0
43011,0
43029,0
18461,0
43040,0
43045,0
43055,0
43060,0
43064,0
18489,0
43067,0
18492,0
18494,0
18495,0
43077,0
43078,0
43079,0
43081,0
43082,0
43093,0
43103,0
18555,0
34949,0
18580,0
26781,0
43169,0
43170,0
43171,0
43173,0
43175,0
18603,0
10419,0
18615,0
2234,0
43197,0
43198,0
2244,0
2245,0
2246,0
18638,0
18658,0
2274,0
18660,0
43241,0
10493,0
18711,0
18725,0
18731,0
18734,0
26943,0
10566,0
41183,0
26994,0
35197,0
16765,0
10626,0
27011,0
18825,0
35210,0
27022,0
2451,0
27043,0
27046,0
27047,0
27054,0
27055,0
27058,0
2486,0
35297,0
27112,0
27124,0
27125,0
27126,0
10760,0
10767,0
10768,0
43536,0
27170,0
18985,0
18987,0
2612,0
19013,0
27219,0
27221,0
27222,0
27227,0
27228,0
27229,0
27230,0
27232,0
27238,0
27244,0
27245,0
27256,0
43641,0
43642,0
43644,0
27261,0
27262,0
27266,0
43653,0
27269,0
27270,0
43658,0
2700,0
27276,0
43670,0
27286,0
35484,0
43676,0
27297,0
43685,0
43694,0
43696,0
43702,0
27321,0
43706,0
27325,0
19135,0
19136,0
43716,0
19140,0
27334,0
27336,0
27337,0
2779,0
27380,0
27381,0
43765,0
19199,0
43790,0
43793,0
43794,0
43795,0
43796,0
43797,0
27414,0
27415,0
43811,0
43812,0
43813,0
35623,0
27435,0
43824,0
43825,0
19248,0
43827,0
27449,0
43834,0
27451,0
35646,0
35653,0
11078,0
43852,0
43853,0
43856,0
35666,0
19290,0
43869,0
43870,0
43871,0
43873,0
43874,0
43875,0
43876,0
43879,0
43880,0
19308,0
19309,0
19310,0
27507,0
43903,0
27534,0
43919,0
43920,0
27536,0
27535,0
43918,0
27538,0
43930,0
27562,0
43953,0
27571,0
19382,0
43966,0
35777,0
43974,0
19398,0
43978,0
19403,0
19404,0
43982,0
43983,0
3037,0
43999,0
35807,0
44002,0
27629,0
27634,0
44019,0
44020,0
44021,0
44022,0
27639,0
27640,0
44024,0
44023,0
44025,0
44029,0
44031,0
27649,0
27650,0
44038,0
3078,0
11270,0
11275,0
35854,0
27673,0
44060,0
35869,0
44062,0
35871,0
27679,0
27678,0
35875,0
27685,0
27687,0
27688,0
35879,0
11303,0
44075,0
35884,0
27689,0
35886,0
27690,0
27697,0
27699,0
11316,0
35893,0
44086,0
27703,0
27704,0
35897,0
27712,0
35910,0
27719,0
44106,0
44107,0
44110,0
35918,0
44112,0
44113,0
11342,0
44115,0
