community,nodes,edges,density,avg_clustering,avg_degree
0,3727,7469,0.0010756976300230967,0.0009332238501570307,4.008049369466058
1,385,587,0.007941017316017316,0.0010893010713981187,3.0493506493506493
2,2,2,2.0,0.0,2.0
3,1600,2611,0.002041119449656035,0.0009907906427238846,3.26375
4,1,1,0.0,0.0,2.0
5,24,23,0.08333333333333333,0.0,1.9166666666666667
6,8,7,0.25,0.0,1.75
7,2,1,1.0,0.0,1.0
8,1,1,0.0,0.0,2.0
9,2,1,1.0,0.0,1.0
10,2376,4270,0.0015133794081162502,0.0006431280805228199,3.5942760942760943
11,2664,5363,0.0015119325108059619,0.0011179235423238129,4.026276276276277
12,24,25,0.09057971014492754,0.0,2.0833333333333335
13,2,2,2.0,0.0,2.0
14,2,1,1.0,0.0,1.0
15,1,1,0.0,0.0,2.0
16,7,7,0.3333333333333333,0.0,2.0
17,1,1,0.0,0.0,2.0
18,39,37,0.04993252361673414,0.0,1.8974358974358974
19,3,2,0.6666666666666666,0.0,1.3333333333333333
20,540,724,0.004974919260633546,0.0015638223046567368,2.6814814814814816
21,658,860,0.003978663261671131,0.0016705016164372728,2.613981762917933
22,1,1,0.0,0.0,2.0
23,2,1,1.0,0.0,1.0
24,1,1,0.0,0.0,2.0
25,711,1029,0.004076781363285196,0.00030395107771226897,2.8945147679324896
26,2,2,2.0,0.0,2.0
27,1,1,0.0,0.0,2.0
28,1,1,0.0,0.0,2.0
29,1,1,0.0,0.0,2.0
30,2,2,2.0,0.0,2.0
31,4,3,0.5,0.0,1.5
32,567,694,0.004325038482871227,0.0014094783886721765,2.4479717813051147
33,2,1,1.0,0.0,1.0
34,582,855,0.0050570470394094786,0.0027763293084593324,2.9381443298969074
35,2,1,1.0,0.0,1.0
36,1,1,0.0,0.0,2.0
37,1,1,0.0,0.0,2.0
38,1,1,0.0,0.0,2.0
39,1,1,0.0,0.0,2.0
40,2,1,1.0,0.0,1.0
41,1,1,0.0,0.0,2.0
42,1,1,0.0,0.0,2.0
43,1,1,0.0,0.0,2.0
44,1,1,0.0,0.0,2.0
45,2,1,1.0,0.0,1.0
46,7,7,0.3333333333333333,0.0,2.0
47,15,15,0.14285714285714285,0.0,2.0
48,1,1,0.0,0.0,2.0
49,2,2,2.0,0.0,2.0
50,1,1,0.0,0.0,2.0
51,3,3,1.0,0.0,2.0
52,2,2,2.0,0.0,2.0
53,1,1,0.0,0.0,2.0
54,15,15,0.14285714285714285,0.0,2.0
55,2,2,2.0,0.0,2.0
56,2,2,2.0,0.0,2.0
57,3,3,1.0,0.0,2.0
58,1,1,0.0,0.0,2.0
59,1,1,0.0,0.0,2.0
60,1,1,0.0,0.0,2.0
61,2,2,2.0,0.0,2.0
62,2,1,1.0,0.0,1.0
63,1,1,0.0,0.0,2.0
64,1,1,0.0,0.0,2.0
65,4,3,0.5,0.0,1.5
66,2,2,2.0,0.0,2.0
67,2080,2776,0.0012839012839012838,3.297084947038552e-05,2.669230769230769
68,1,1,0.0,0.0,2.0
