Starbucks Doubleshot® Energy Coffee Drink,-,-,-,-,-
Starbucks Doubleshot® Energy Mocha Drink,-,-,-,-,-
Starbucks Doubleshot® Energy Vanilla Drink,-,-,-,-,-
Starbucks Doubleshot® Energy Vanilla Light Drink,-,-,-,-,-
Starbucks Doubleshot® Energy White Chocolate Drink,-,-,-,-,-
Starbucks Doubleshot® Espresso Drink,-,-,-,-,-
Starbucks Doubleshot® Light Espresso Drink,-,-,-,-,-
Starbucks Refreshers™ Orange Melon,-,-,-,-,-
Starbucks Refreshers™ Raspberry Pomegranate,-,-,-,-,-
Starbucks Refreshers™ Strawberry Lemonade,-,-,-,-,-
Starbucks® Bottled Coffee Frappuccino® Coffee Drink,-,-,-,-,-
Starbucks® Bottled Dark Chocolate Mocha Frappuccino® Coffee,-,-,-,-,-
Starbucks® Bottled Mocha Frappuccino® Coffee Drink,-,-,-,-,-
Starbucks® Bottled Vanilla Frappuccino® Coffee Drink,-,-,-,-,-
Starbucks® Caramel Iced Coffee,-,-,-,-,-
Starbucks® Iced Coffee,-,-,-,-,-
Starbucks® Low Calorie Iced Coffee,-,-,-,-,-
Starbucks® Vanilla Iced Coffee,-,-,-,-,-
Caffè Misto,-,-,-,-,-
Clover® Brewed Coffee,5,0,0,0,1
Coffee Traveler,-,-,-,-,-
Decaf Pike Place® Roast,5,0,0,0,1
Iced Coffee,90,0,21,0,0
Iced Coffee with Milk,-,-,-,-,-
Pike Place® Roast,5,0,0,0,1
Hot Chocolate,290,9,47,2,14
Peppermint Hot Chocolate,360,9,65,2,13
White Hot Chocolate,420,12,62,0,16
Caffè Americano,-,-,-,-,-
Caffè Latte,190,7,18,0,12
Caffè Mocha,260,8,42,2,13
Cappuccino,120,4,12,0,8
Caramel Macchiato,240,7,34,0,10
Cinnamon Dolce Latte,260,6,40,0,11
Espresso,-,-,-,-,-
Espresso Con Panna,-,-,-,-,-
Espresso Macchiato,-,-,-,-,-
Flavored Latte,250,6,37,0,12
Iced Caffè Americano,-,-,-,-,-
Iced Caffè Latte,130,4.5,13,0,8
Iced Caffè Mocha,200,6,36,2,9
Iced Caramel Macchiato,230,6,34,0,10
Iced Cinnamon Dolce Latte,200,4,34,0,7
Iced Flavored Latte,190,4,30,0,7
Iced Skinny Flavored Latte,110,4,12,0,7
Iced Skinny Mocha,-,-,-,-,-
Iced Vanilla Latte,190,4,30,0,7
Iced Vanilla Spice Latte,190,4,31,0,7
Iced White Chocolate Mocha,340,9,55,0,11
Skinny Caramel Macchiato,-,-,-,-,-
