user_index,rec_1,rec_2,rec_3
499,90548,90547,16498
525,51933,63292,80263
854,29693,102527,122363
980,125585,38937,87887
1202,67409,117338,78276
1983,1202,48319,87352
1990,101651,36858,39570
2149,4110,63441,17262
2603,112123,13921,18842
2860,40295,109011,31103
3334,71323,28854,68389
3489,63108,45304,121418
5285,93579,32449,80953
5835,24690,18142,87923
6208,11866,30251,9010
6217,33236,104429,124769
6363,97982,87016,40660
6557,57166,17555,31535
6963,124087,19066,92216
8120,34646,15369,71572
8138,108443,62994,54719
8430,113358,43620,125586
8436,38864,41136,35347
8533,100308,89593,26770
8810,63219,105451,73622
8812,82639,11984,40010
10689,185,76152,12591
10721,94145,85397,2300
10724,114234,42792,68488
11017,27884,104436,92347
11222,35402,30260,118342
11667,28396,40625,11904
12715,69248,7736,14689
12723,28941,38764,50466
13798,59213,68899,270
14010,2015,50152,68210
14984,76414,59204,54266
14992,93870,73127,17278
15260,26842,40056,101705
15370,119751,56155,76606
15559,30112,16885,115196
17165,94372,40667,13176
17680,100132,108569,89702
18188,95625,20659,7589
18519,33974,31534,67818
19092,72118,76063,105296
19311,107307,100942,109645
19848,35218,29636,8001
20041,108081,31682,112080
20167,46913,86139,33427
20839,86036,56506,757
21051,42003,113531,357
21905,117752,16521,41823
22516,108341,23773,25664
22578,54365,27905,49762
22692,88843,7412,8430
22737,88437,81521,12618
23155,88844,779,26989
23213,124921,57116,80952
23281,52798,66700,13046
23484,30259,54651,113961
23596,5429,125255,9705
23848,102638,7518,39660
23882,89171,38184,119566
24210,8669,61631,97322
24683,58651,53712,88551
24763,101723,89680,99814
24868,100200,74418,46727
25008,22309,124268,92251
25246,9612,82003,85220
25621,102823,25246,24988
25633,97817,37308,18874
26189,84809,5276,18101
26308,41940,114965,30816
26374,18750,27305,91892
26686,17465,48756,110702
26778,64235,26690,44792
27287,71929,23596,76344
27926,101765,119210,37685
28137,124465,102750,57005
29387,122568,69155,44453
29844,100321,114141,71649
29845,31366,124927,62654
30692,61850,14235,9615
30922,109349,32492,120545
31489,102376,99575,124216
31763,112800,124601,117248
33202,100956,5223,54949
33424,9016,77503,7599
33605,105409,53904,93474
34458,70824,3737,34350
34855,75069,124180,29847
35610,108338,53770,53849
35685,76133,53108,69167
35754,25607,15726,47679
35820,78973,35509,39519
36107,5372,27916,70984
36487,104434,27718,56064
36652,93968,114793,8074
37068,40250,79944,34867
37101,44802,68527,51795
37383,37540,31395,16903
38220,19449,102321,125441
38570,68591,82002,84631
38655,7318,34821,54502
38937,111979,25234,59624
39126,114777,84531,34971
39617,19183,80283,89520
39834,57889,90,64182
40136,59489,60207,12362
40799,36829,80627,61093
40862,18701,7414,85426
41307,18117,78762,107607
42582,121376,73885,82792
43164,26183,123917,11882
43243,31659,23822,10613
43347,60347,88073,115795
43698,114411,83812,104326
44087,119333,47364,72192
44226,55026,80340,102256
44404,101534,86637,50361
45738,20157,103179,55400
46884,78470,41481,22775
46931,9744,67061,30896
47010,26241,108242,46783
47071,25259,68327,95561
47301,80915,48244,121074
47948,33655,33848,2239
48049,9723,122324,11679
48388,69592,2004,56942
49652,94396,121185,41491
49663,16118,36855,118149
49808,42439,106774,51115
49917,61495,16631,34223
50152,38494,124802,12081
50296,81358,52450,89295
51036,108368,8420,110577
51096,106316,110548,335
51239,9416,53476,106934
51551,113704,75807,90192
52007,29174,36492,106925
52124,20793,12117,78458
52239,59111,20393,19748
52450,76179,21070,40136
53013,65712,43243,96584
54247,109182,40770,47891
54280,84700,53135,60611
54651,25972,101468,63602
54692,51662,29941,77595
55026,104278,55615,94517
55378,23970,39632,6999
55492,39594,111419,9719
55939,75015,85814,125098
56314,8221,62788,69528
56491,7703,77023,7554
56794,124873,87732,97256
57705,18178,105518,32133
58651,91124,88368,64250
58703,110459,18446,102583
58787,101718,35290,116352
58896,26517,3713,67802
59693,105055,85977,107635
60166,51101,41737,87226
60766,115300,26003,25408
60808,57463,4334,107963
61180,119162,76083,50469
61456,77340,67136,33684
62450,74288,107271,65259
63441,109440,22982,59395
63728,38017,80752,52005
64031,93306,36124,38492
64842,107633,62177,26095
65149,52972,102556,60450
66315,4604,4937,25008
66831,5163,13800,18930
66984,25043,28132,28477
67694,31102,34685,36448
67852,40761,40917,44018
67925,45225,46369,47782
68327,49874,50759,51021
68641,51487,53369,58471
69078,59590,65935,70523
70305,71547,71983,73648
70711,82558,84982,85730
70965,88553,91782,94431
71168,98081,100869,103041
71584,111661,117203,117286
71929,117928,123106,124894
72311,119616,7819,70278
72777,62482,122812,111381
73183,86419,94027,35453
73959,81038,38447,102174
74303,98652,84188,7821
74896,97492,40037,32825
76083,93455,14104,33600
76152,54553,94975,77920
76682,85018,53585,121295
76911,51983,92452,62706
76914,54756,23948,79780
76961,93679,115318,116162
77400,18078,2832,89883
77544,109649,2879,26741
77944,118698,103185,125446
78970,32773,93102,75944
79750,102087,80465,119123
80263,73256,115462,112889
80297,71231,64251,60321
80631,125748,11344,49318
80752,39830,59978,113980
81314,121485,89238,3251
81568,11785,55492,119188
81880,91729,14950,52926
82004,107774,14188,101726
82631,34769,67022,72006
83173,24530,85834,35975
83385,51809,69892,101887
83479,113204,86768,50963
83782,7837,39648,3957
83994,19466,76182,3016
85061,122515,82559,32578
87574,18109,91858,76212
87907,33712,120134,66309
87983,14047,3138,50282
88267,69713,101955,48745
88718,40401,29041,37915
88771,85133,29024,18900
89238,65936,35351,97616
89461,124356,12562,56498
90900,19848,122744,110764
90909,6709,6729,76816
91376,58047,49491,42165
91829,36392,685,11257
91945,27700,69542,112507
92178,107545,53931,31476
92347,43148,99206,78251
92720,107031,83614,32013
93945,52828,103164,112573
93985,50336,78902,19278
95100,114173,26747,7853
97339,66956,101272,102099
97765,113371,40825,51237
97982,59693,9241,19887
98078,21849,22254,22450
98173,32466,40649,18297
98497,115274,78922,24022
98566,19917,29262,72797
98641,104739,2715,11240
98784,17598,17750,27561
99349,30425,34636,30751
99479,5951,9672,31489
99564,58113,100823,58097
99633,9673,109148,93930
99745,88590,38225,71653
100016,77911,78939,13729
101175,82778,114851,57858
101504,63764,35016,7921
101726,76673,57750,67043
101955,66343,57333,71915
102202,41548,14154,56318
102982,18945,562,4364
103185,6165,389,39834
103193,2143,5575,15656
103317,16951,17186,17327
103966,23628,27818,40416
105669,47413,52785,57291
106782,66634,69421,72157
107367,77932,92611,98476
107864,104557,105630,114460
108765,115940,119257,7719
108767,36538,36699,60892
109349,64945,67469,67496
109724,76251,79382,88235
110336,95171,105377,106553
111189,107117,109701,112111
111192,112201,116795,117914
111201,25489,68725,34205
111295,39532,58817,31094
111447,50976,61976,44866
111461,4449,25037,16431
111936,33494,5233,103328
112080,110642,41060,86167
113254,101598,99858,51984
113371,92329,100099,91132
113764,109506,33859,36072
113846,1760,2608,7395
114637,8570,15939,25378
114685,26508,27001,39464
114856,45145,47039,62527
115640,62973,63902,67202
116142,69920,72067,76468
116411,79854,80276,84230
116507,99199,108313,108376
116661,109394,111035,120052
118302,100640,96052,109392
118316,16679,83980,87555
118342,69907,39780,31455
118390,36257,60824,120574
118391,8538,8892,11112
118393,11987,14599,23798
118623,23981,24074,25749
119698,31851,34472,38519
121342,40903,41712,51714
122654,55247,57454,59993
123181,60740,61619,69161
124001,72532,76998,77814
124268,83721,35754,25039
124689,25417,27435,40055
124836,40868,51070,61045
124851,49481,42850,33813
125645,3117,10652,72476
125807,68282,84088,90674
125850,5983,27475,33586
