user_index,rec_1,rec_2,rec_3
1suzeeq,pechipy1,pechipy,buxbar
1yogagirl,javafan28,kjminton,mochachocha
3ebfan,decaf_coffee,seahawk1,wendella
44rsleave,zigzag,flying_fish,ohitsrai
5fcfa971-335a-4ada-a4d4-934c5ad32635,leftoverpeas,toomuchcoffee,mikemooney
abug,5fcfa971-335a-4ada-a4d4-934c5ad32635,iamme4ever,nuts4coffee9
aburchardt,sbuxstudent,espressojoy,frappaholic
acolon1024,alittlelove,klagirl,caille
aedjones,sweetercandies,boldallday,catbiteme
aghorse,fusionlatte,starbucksguru12,dinorawrrs
akaydgm,ltwinc@a,db1105,lillywhite
alanisfuzzy,kitenarie,happybeany,vogt_raiders
amycat,pumpkinmocha,doobydoo,momofadelle
angel70,colette51,cardipup,ohyou
anna80020,bgood2me,deseree,badanimal
annabanana89,driptease,shiftdoug,ylyl_boi
annestarbucks,rockfish,notpikespeak,ganzlecker
another8a,jolt,calm_dn,dks64
arb0703,xbelllax,catscradle,plissken1984
auditna,edgebarista,brodave,lukeforester1
audreym6,ssbmaverick,kinzington,jevvels
avion321,taycon9799,graprongirl,zigzagpapers
avivanco,flukes,geminigal,elitewolverine
aworldfreeofms,sanani_,parcaso,cupojoe4evamoe
baanky,kiwisoup,sjclynn,manitoba
bab1883,msfeli7,bieskalee,frmrbarista
beavervalley,13breills,meanbeans,biscottidog
bec,quickinstinct,newgirl0802,adamrobertt
becabreu,tennis4vr,goldensparrow,lil_skmo
bekka4,danib62,shiftysarah,pmww2486
benchley2,eljediloco,desertdummy13,truenorthblond
betterbefore,dashedto,gameplan,bharison2
bjolliff,littoazndogg,ash_sk8s,braums
bjornlarson,dbob,flogger1,izze
bobreese,justsmilestevi,lisabeth313,1950bing
bonebag227,academic2,issaellen,ligrl4387
brianb23,megatron,justpris,jeremysz
briand92,qalattedrinker,makeitbold,caitie
brittany4sbux,curlyhead,fromru,sbxkenz
brodes,utlemur,jmluci,melalala
brtlght103,denitsapetkans,cafe77,themoon
caffieneluv,rachelbucks,gapkid,blondrach
camptatum,samedicman,stabux_barista,partyelf
carguysm,rebelbballgirl,chefmela,ashesvondust
carollyn,dv8angl,dkrst,levis1girl
catville,lydecker,mdmenzel,siriusmindfrap
ccantieri,sonnyb,sashacooper,stbuxcupcake
cfurrun,elefa,decaffat,atlsm13
chaifreak,splenda,dmarkette,sweet101
chaitealover,hi_biscuit,nineofseven,drspears
cherrybomb2727,nikkishear,joe9614,2twigs
chicagosbrocks,gira,tboy1993,1custmr
chu,transitrider32,bux_srvc_rep,gimmemylatte
ckenndy3,srf,coffeeberry,cpease
clahr02,jerseymom,danielajones,involvedone
claudiag,otakumarz,artscis,avion321
claywings,onlyme,morningbecomes,bitemetwo
cmlstudio,otay,30ish,cvln94
cmt14,yoonix,joker402,momof9
cns0714,jbronste,laurencaporimo,blikeme
cocopuff32,desertdummy,jester8909,teavanalover
cofesnob,ana,zacholleyshow,baristasnob2
coffeecrazy101,seatleslew,asdfghji,frappypower
coffeediva212,paid,ffstarbucks,uonleliveonce
coffeelvr63,azhiker,kekekeitsangee,rkoppel
colemkiniry,jujubeth,jenconnolly,opheliachai
collin1026,sbxstar7,particlelover,saharan
comicslover,sammocha,marksebiz,hikeforfun
conniemx,cita24,xpelled,plummeat
coptic,baristacb,mrfusion,nerdybirdy
coylee,sehrishali16,coptic,connectiveone
cozy,robinrrv,exoboy,caterade
crnemz,nbillmyre,amyblue,caramelpecan
